Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Form_DLY (Extended)
(Note that non standard row charges apply. For details search the help on "fdly").
Station,Day(Local_Date),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET05(C),ET10(C),ET20(C),ET50(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ),SoilM(%)
4843,20091020:0000,179,14.9,420,2.4,7.8,11.8,3.7,-0.3,7.8,11.2,11.6,-,-,-,1015.2,1010.6,-,21.60,-
4843,20091021:0000,293,14.9,312,0.0,10.0,17.5,2.4,-0.3,8.9,11.7,11.5,-,-,-,1011.7,1007.2,-,17.89,-
4843,20091022:0000,308,14.9,360,1.0,11.4,14.7,8.1,5.3,9.8,11.3,11.6,-,-,-,1013.2,1008.6,-,8.23,-
4843,20091023:0000,183,9.8,304,0.4,8.7,12.9,4.4,0.5,9.2,11.5,11.8,-,-,-,1021.1,1016.5,-,19.63,-
4843,20091024:0000,62,11.8,365,0.0,6.7,14.1,-0.7,-3.0,8.5,10.9,11.3,-,-,-,1019.0,1014.4,-,23.78,-
4843,20091025:0000,70,10.3,433,0.0,11.0,16.0,5.9,3.3,11.7,14.0,13.3,-,-,-,1012.2,1007.7,-,25.36,-
4843,20091026:0000,225,10.8,393,5.6,11.9,15.9,7.8,3.0,11.5,13.5,13.6,-,-,-,1009.4,1004.8,-,17.66,-
4843,20091027:0000,216,16.0,535,3.6,8.4,12.5,4.3,0.7,9.4,10.7,11.6,-,-,-,1012.9,1008.3,-,17.21,-
4843,20091028:0000,181,18.0,496,5.2,12.4,21.6,3.2,-1.1,9.5,11.7,11.8,-,-,-,1003.7,999.2,-,22.43,-
4843,20091029:0000,205,17.0,516,1.6,8.0,12.6,3.4,2.3,8.0,9.3,10.2,-,-,-,1013.5,1008.9,-,16.58,-
4843,20091030:0000,174,12.4,377,0.1,8.8,13.9,3.6,-0.2,9.4,11.2,11.5,-,-,-,1021.0,1016.5,-,24.46,-
4843,20091031:0000,90,9.3,239,0.0,10.4,14.9,5.8,2.1,9.7,13.7,13.4,-,-,-,1024.7,1020.2,-,25.04,-
4843,20091101:0000,63,8.8,355,0.0,12.1,17.6,6.6,4.1,11.2,13.7,13.5,-,-,-,1015.5,1011.0,-,19.27,-
4843,20091102:0000,187,11.3,321,0.1,12.8,19.3,6.2,3.8,11.5,15.4,14.9,-,-,-,1005.3,1000.8,-,25.54,-
4843,20091103:0000,56,15.4,518,0.0,11.4,15.8,6.9,2.4,11.8,13.9,14.1,-,-,-,1008.9,1004.4,-,18.26,-
4843,20091104:0000,315,22.7,576,0.0,17.2,25.0,9.4,7.2,10.8,14.9,14.6,-,-,-,1000.1,995.7,-,17.10,-
4843,20091105:0000,68,11.8,433,0.0,12.5,16.6,8.4,4.7,10.8,15.9,15.4,-,-,-,1007.5,1003.0,-,27.32,-
4843,20091106:0000,185,14.4,388,0.0,10.5,16.5,4.5,0.7,10.0,16.0,15.8,-,-,-,1019.1,1014.6,-,27.91,-
4843,20091107:0000,100,11.8,247,0.0,12.1,21.8,2.4,0.3,9.5,17.0,16.5,-,-,-,1022.4,1017.8,-,25.34,-
4843,20091108:0000,58,9.3,312,0.0,13.7,18.2,9.1,8.6,11.8,18.3,17.9,-,-,-,1021.3,1016.7,-,25.60,-
4843,20091109:0000,178,13.4,425,0.2,10.2,12.5,7.9,7.2,10.0,13.0,14.5,-,-,-,1015.6,1011.1,-,6.72,-
4843,20091110:0000,87,9.3,293,0.0,9.1,15.0,3.1,-1.8,10.4,14.2,14.6,-,-,-,1008.1,1003.6,-,20.08,-
4843,20091111:0000,205,17.0,431,0.7,10.4,15.1,5.7,2.0,9.4,13.3,14.2,-,-,-,1007.4,1002.9,-,18.28,-
4843,20091112:0000,69,12.4,378,0.0,9.4,16.5,2.2,-1.5,8.8,15.1,15.1,-,-,-,1008.5,1004.0,-,27.98,-
4843,20091113:0000,186,25.2,341,0.6,9.6,17.8,1.4,-1.3,8.4,11.9,13.4,-,-,-,1006.8,1002.2,-,14.00,-
4843,20091114:0000,290,18.5,454,0.0,9.4,18.5,0.3,-2.3,8.7,13.1,13.2,-,-,-,1002.8,998.3,-,16.52,-
4843,20091115:0000,308,14.9,411,0.0,14.2,18.7,9.6,4.2,9.7,17.7,16.7,-,-,-,991.0,986.6,-,25.24,-
4843,20091116:0000,291,11.3,332,0.0,9.1,17.2,1.0,-3.2,6.9,14.6,15.0,-,-,-,994.7,990.2,-,19.11,-
4843,20091117:0000,76,14.4,390,0.0,8.0,16.6,-0.7,-3.8,8.8,15.2,15.2,-,-,-,1002.7,998.2,-,26.54,-
4843,20091118:0000,220,8.8,357,0.6,12.6,15.8,9.4,9.0,11.8,14.8,15.1,-,-,-,1004.3,999.8,-,12.89,-
4843,20091119:0000,57,12.4,407,0.0,14.8,19.1,10.5,9.2,12.1,16.9,16.4,-,-,-,1008.4,1003.9,-,20.18,-
4843,20091120:0000,305,15.4,400,0.0,18.6,26.1,11.1,9.9,12.2,19.4,18.3,-,-,-,1004.2,999.9,-,23.49,-
4843,20091121:0000,200,17.5,428,0.0,19.7,29.3,10.0,7.4,11.2,18.0,17.9,-,-,-,1001.2,996.8,-,14.93,-
4843,20091122:0000,47,10.3,327,1.8,11.6,14.3,8.8,8.3,10.4,15.0,15.7,-,-,-,1016.0,1011.4,-,14.62,-
4843,20091123:0000,224,17.0,523,0.0,18.1,26.3,9.9,8.9,13.6,16.8,16.3,-,-,-,1009.6,1005.2,-,15.36,-
4843,20091124:0000,217,14.4,557,0.0,15.3,20.3,10.3,7.6,10.3,19.2,18.7,-,-,-,1013.3,1008.8,-,29.00,-
4843,20091125:0000,293,19.0,454,0.0,16.9,26.7,7.0,4.2,11.1,20.9,19.9,-,-,-,1006.0,1001.6,-,29.42,-
4843,20091126:0000,295,14.4,451,0.0,14.2,19.8,8.6,5.3,10.7,20.7,20.4,-,-,-,1005.1,1000.7,-,29.52,-
4843,20091127:0000,311,22.1,638,0.0,18.2,26.2,10.1,8.2,10.2,17.7,17.9,-,-,-,1001.2,996.8,-,16.09,-
4843,20091128:0000,50,11.8,363,5.3,9.6,11.5,7.6,8.0,10.5,13.8,15.3,-,-,-,1001.1,996.6,0.0,8.77,-
4843,20091129:0000,78,9.8,297,0.0,8.8,15.3,2.2,0.4,10.4,12.8,13.7,-,-,-,1005.4,1000.9,-,10.35,-
4843,20091130:0000,96,8.2,332,5.3,8.9,10.2,7.6,7.6,10.9,11.3,12.4,-,-,-,1012.9,1008.3,0.0,4.17,-
4843,20091201:0000,53,12.4,483,2.5,11.9,14.7,9.0,8.8,13.3,12.9,13.2,-,-,-,1011.2,1006.7,0.0,8.89,-
4843,20091202:0000,182,11.8,421,6.3,11.2,13.7,8.6,8.4,12.4,13.0,13.6,-,-,-,1013.8,1009.3,0.0,8.49,-
4843,20091203:0000,183,7.7,277,0.0,10.5,14.1,6.9,4.4,8.6,13.2,13.3,-,-,-,1022.7,1018.2,-,18.57,-
4843,20091204:0000,59,14.9,445,0.0,9.3,15.0,3.5,0.5,9.3,13.6,13.8,-,-,-,1021.7,1017.2,-,23.20,-
4843,20091205:0000,68,9.8,456,0.0,13.5,17.7,9.3,7.7,12.4,16.8,16.3,-,-,-,1014.2,1009.7,-,29.04,-
4843,20091206:0000,190,12.9,263,2.3,16.5,21.5,11.4,9.8,14.8,16.7,16.7,-,-,-,1005.8,1001.3,-,11.19,-
4843,20091207:0000,70,12.9,432,0.0,14.1,19.7,8.4,5.8,13.8,17.1,17.0,-,-,-,1010.9,1006.4,-,27.33,-
4843,20091208:0000,291,13.4,379,0.0,19.2,27.6,10.7,9.1,13.3,18.0,17.7,-,-,-,1008.5,1004.1,-,19.32,-
4843,20091209:0000,45,16.0,566,0.0,19.2,27.9,10.5,8.6,14.7,19.4,18.8,-,-,-,1005.0,1000.7,-,17.50,-
4843,20091210:0000,226,11.3,464,0.4,14.1,15.7,12.4,12.3,14.6,16.6,17.3,-,-,-,1012.5,1008.0,0.0,9.30,-
4843,20091211:0000,327,9.8,247,0.0,18.3,23.9,12.7,12.8,15.1,17.5,17.3,-,-,-,1002.4,998.0,-,11.33,-
4843,20091212:0000,279,20.6,535,0.0,18.6,26.4,10.7,8.5,11.2,19.9,19.5,-,-,-,992.9,988.6,-,26.74,-
